Symbol,Exp000978,Exp000979,Exp000980,Exp000977
NUP85,7.01508781764,0,0,6.33770785283
L2HGDH,6.18230131871,0,5.60013435354,0
WDR61,8.216845191,7.45567111292,7.79052641249,8.16109746079
SMARCD1,7.30934453458,7.11272429962,7.50582085839,7.55386814626
MAU2,6.68104517413,0,0,0
TEFM,8.17216424937,7.57835234929,8.05245863035,7.8902074578
POTEE,0,8.03724227218,0,0
FOXD2,0,0,0,0
RNGTT,7.17821697651,0,0,0
ARGLU1,7.53172636948,0,0,7.34585322011
ESPL1,0,6.85357993857,7.19806292881,0
FAM76B,7.62791241273,0,6.22026111679,6.96305966215
PUM1,0,7.32103963834,6.86657884731,0
PUM2,0,0,0,7.18689302204
MACROD1,0,5.98425049477,6.56291157998,0
NOL7,6.62451893619,0,0,5.7041906104
ISG20L2,7.21251757517,6.9080575211,7.03086420246,6.41438011478
PRKDC,10.2887202488,9.08464514976,9.04345939046,10.0579382714
WHSC1L1,0,0,7.67883444222,7.90916972841
SF3B5,6.89717389024,0,0,6.44304999175
TCF7L1,0,7.26329543376,0,0
MRPL9,6.12747732909,0,0,7.04884515798
TRPT1,0,0,6.10451105566,0
RBM4B,0,6.77317977661,0,7.73105018828
RPS5,8.58100409614,8.03069094287,8.03516382836,8.77811007851
ZBTB40,6.73096800138,7.92033292883,7.37920629655,6.75306289783
HIC2,8.30579428342,8.55356012285,8.02672268721,7.79202788605
MRPS5,0,0,6.12122388479,5.95955799092
KLF16,8.65871114199,7.85387983936,8.01299587595,8.28472041055
MRPS25,0,5.91500249474,6.42697489969,0
MARS,7.97735253987,8.04449828267,7.66509532952,7.67841110936
BAG3,0,0,0,5.61516785893
HNRNPA2B1,9.76745470633,9.12958771463,9.48387946275,9.86835269617
HNRNPD,9.27805321376,8.85890409947,9.15165637649,9.33619008119
HNRNPH3,7.33838011551,9.50674683548,9.81415264149,9.85530371155
HNRNPU,10.1380279948,0,0,10.1517992446
MTA2,8.78981957296,8.51722030507,8.44884497025,8.40274934762
RPS9,8.29708153502,7.97274935391,8.15341224925,8.0474412697
EMX2,0,0,6.05737375595,0
ESYT1,8.45087759992,8.18957180773,8.13069201176,7.82774107109
NR2F2,8.75544495151,8.53150789799,0,8.1384706956
DCUN1D5,0,6.87677661882,7.0454264553,6.70394223015
NTPCR,8.64218085126,8.24463116878,8.63607991907,8.78803580996
NUDT16L1,7.1355695067,7.1047246106,7.82277088707,7.75457029975
VPS25,6.7585374435,6.18659245015,6.70224807215,5.88045144353
THOC3,7.77793809061,6.96789901248,5.74909444763,7.93343387758
MRPL13,7.07114398705,0,0,6.61802655335
HNRNPK,9.60745261923,9.56324803991,9.7829906964,9.68320023765
PTBP1,9.41029263479,9.27162600993,9.68200815524,9.13236153188
DPY30,7.48381754803,6.58443084058,7.23758099676,7.27847442478
CINP,6.89652897132,0,0,6.76768647187
HDGFRP2,6.37008654456,0,0,0
RAX2,6.84177571302,6.31591276188,6.47361245062,7.03162707589
ZBTB45,6.25477414327,6.84755920464,0,0
C12orf52,7.23158440116,0,0,0
KLF5,7.62587025227,7.19545201792,6.9908783071,0
MRPS26,6.98043083553,6.42329654676,6.81938416451,6.99857255097
RPS12,7.34111286423,0,0,7.46753730171
SIX4,7.17485354935,7.58631731862,7.46233387385,7.31096085648
HSD17B11,6.99114472026,5.87834844956,6.18720880292,6.2516384371
KRT86,0,7.08113741865,0,0
CCNB1,7.74431668713,7.49066115119,8.01368702257,7.65616106715
MRPL1,0,6.73449706097,7.04208368347,6.62176682422
TUBA1C,9.1065544952,0,8.80792396553,0
GTF2E1,6.81014895338,0,6.89943188886,0
CDK13,7.03365619021,6.37941532779,6.78857027349,6.97772288954
ZNF148,8.86911282317,8.94758933666,8.5676296338,8.63070572107
MORC4,6.83995746805,6.65699070906,6.71845142273,0
CTBP2,7.15812346401,7.48336338758,7.614550886,7.1652566344
PSMF1,0,5.73510640497,0,0
POLR2E,8.86915767235,8.3037450431,8.21019500146,8.77590575278
POLR2H,8.29321763751,6.66835792533,0,7.36424987177
RECQL,8.09538868022,8.23494593003,8.68124976077,8.94159191931
RPL5,6.73876588872,5.68143145183,6.1075049663,6.0267067326
YLPM1,7.93001895749,0,0,7.65285163275
ZNF768,7.13008711892,8.02901966902,7.85755931569,7.32509826711
SRCAP,6.97831018382,7.11947779733,7.19467277074,6.8751654656
CTNND1,0,0,7.49570278028,0
PATZ1,8.00847169519,7.56899257095,7.8165372431,7.70339389814
BAZ1B,8.88409016076,7.90100602936,8.73870130387,8.87197832124
POLR2C,8.20446462995,7.42631799966,7.66954321643,8.03197583472
TAF7,8.09907191049,7.71337954627,7.46337223248,7.89044362822
SPEN,7.04328366672,6.46641171316,6.52696024281,6.04393893817
WDR82,8.78528971593,8.25142944256,8.75004478809,9.00049363595
PTPMT1,6.99881348216,0,0,6.48148142128
NCAPH2,0,0,0,7.00631145782
HNRNPF,8.14487928711,7.8750046383,8.05459046279,8.18496182836
ZBTB21,7.20465736241,7.02090620786,0,7.06115347054
DDB1,8.96548585916,8.68218266987,8.48620010629,8.62477897965
COPA,8.04507802954,7.8018075471,7.58240537921,7.72159544779
SMARCD2,7.04589942902,7.36781144575,8.00338744245,8.21108363231
INO80D,6.73232737068,6.72485862061,7.23596352297,0
ALKBH5,6.21281039558,0,0,0
LIG4,0,0,6.34691915845,0
ZNF134,0,0,5.83271705774,0
NOLC1,8.84191109539,7.72274127078,7.14695460438,7.13612113706
ZSCAN20,7.24195425991,6.55303662648,0,7.23447038421
RECQL5,7.58751253639,0,0,0
KIF18A,0,0,6.5349387278,7.17979435502
ABCF3,0,0,0,0
CECR2,0,5.88882880817,6.28034298127,6.65248527815
RFX7,6.48677791115,6.58465086633,6.35960592278,6.75391913482
PKP2,6.78807385759,6.66044895747,6.68794355224,6.04777200947
POU2F3,0,6.50890712075,0,0
CKAP2,7.60586046661,6.73501331466,0,6.69011794835
STRAP,6.47935986375,5.75147980567,6.76939502103,6.69855205673
NOP16,0,5.8458513358,0,0
PINX1,6.32750499965,0,0,6.21633374272
KMT2D,0,0,7.6214704029,7.25187126963
SMCHD1,6.75027949945,7.72222314942,7.91945568602,7.0335317678
RNF169,0,8.35934426069,6.70738058746,0
GTF2H2C,8.3376155343,0,0,7.79768552139
RPS24,8.10630228909,7.38091540853,6.88011235877,7.70445447121
KRT31,0,7.65340337411,0,0
TOX2,7.38645309638,7.07779425092,7.40791488398,7.60517947971
ATXN7L3,7.58449817009,6.15121637337,6.25881745742,0
SLAIN2,0,6.63899248988,8.55474350184,6.99200282926
MSL1,0,0,7.32465687505,7.46320689199
INF2,0,0,0,6.70112333113
SRP14,8.37020614308,7.29981564568,7.2302977446,7.99156226783
USP22,7.40687714669,7.37941996452,7.29774707006,7.26923815035
GAR1,8.35259035786,7.24146798321,7.40559142694,7.92984775852
RPS26,7.03023013817,6.15831858461,6.28173134855,6.99873405193
ARHGEF2,8.75957274014,7.47551776499,7.39182624681,7.83131336153
HOXB9,8.41874838348,8.21414438332,8.33026091246,7.84328683631
USP7,0,7.62143571388,7.47801174723,0
CCNK,6.99692519414,0,0,6.71894631493
RANBP2,7.07704247658,0,0,6.6267131409
RPS2,9.22098123432,8.17623592136,8.78047540653,9.26022264148
TINF2,7.22452578243,6.80691305082,7.07500531914,6.69154933582
TMX1,0,0,0,6.18212267195
ACTR5,8.29977946864,8.24905360258,8.03152216961,7.87545814288
TAF3,7.42949783551,0,6.76523507766,7.65910634815
WIZ,8.60206261551,8.58435870428,8.02319966099,8.16942032575
PRMT1,7.01346162211,0,0,0
PRPF40A,8.43688335424,7.83570475011,8.19967563178,8.44430507648
PURB,8.04476887617,7.69036501853,7.61879514604,7.75633360929
RARS,6.96628131059,0,7.54312502601,7.82901544536
LACRT,0,5.88700131401,5.95555123774,0
DGCR6,0,0,0,6.40222797314
ZNF787,8.02157238508,7.73870738525,7.82041734969,8.06321044272
PITX1,0,6.84466109273,6.81073419241,0
IRF2,0,7.15058842387,6.174868732,0
